"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","La règle de prix catalogue %1 basée sur l'attribut ""%2"" a été désactivée.",custom,Imaginaerum
"Entity type model must be an instance of ' 'Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Le modéle de l'entité doit être une instance de Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType",custom,Imaginaerum
"Error: unknown error.","Erreur inconnue.",custom,Imaginaerum
"Estimated Total","Total Estimé",custom,Imaginaerum
"Exact Match. Address and nine-digit ZIP code","Correspondance exacte. Adresse et code postal à neuf chiffres",custom,Imaginaerum
"Example: 0.0.0.1 or 123.1.0.25-alpha1","Exemple: 0.0.0.1 ou 123.1.0.25-alpha1",custom,Imaginaerum
"Exceptions Log File Name","Nom du fichier de log d'exceptions",custom,Imaginaerum
"Excl. Tax:","HT :",custom,Imaginaerum
"Expiration date is invalid.","Date d'expiration invalide.",custom,Imaginaerum
"Expiration date is required.","Date d'expiration requise",custom,Imaginaerum
"Expiration month is invalid.","Le mois d'expiration est invalide.",custom,Imaginaerum
"Extensions","Extensions",custom,Imaginaerum
"Failed to rollback","Erreur lors du retour arrière (rollback)",custom,Imaginaerum
"Failed to validate FTP","Erreur lors de la validation du FTP",custom,Imaginaerum
"Fast and easy check out","Commander plus vite et plus facilement",custom,Imaginaerum
"Fax is too long.","Fax trop long.",custom,Imaginaerum
"Field is not complete","Champ non complet",custom,Imaginaerum
"File does not contain data.","Le fichier ne contient aucune donnée",custom,Imaginaerum
"File does not contain data. Please upload another one","Le fichier ne contient pas de données. Veuillez en uploader un autre.",custom,Imaginaerum
"File format is unknown","Le format de fichier n'est pas reconnu",custom,Imaginaerum
"File is partially valid, but import is not possible","Le fichier est partiellement valide, mais l'import est impossible.",custom,Imaginaerum
"File is valid, but import is not possible","Le fichier est valide, mais l'import est impossible.",custom,Imaginaerum
"File was not uploaded","Le fichier n'a pas été uploadé",custom,Imaginaerum
"File was not uploaded.","Le fichier n'a pas été uploadé.",custom,Imaginaerum
"Filters","Filtres",custom,Imaginaerum
"Find Order By:","Tri :",custom,Imaginaerum
"Find Partners & Extensions","Trouver des Partenaires & Extensions",custom,Imaginaerum
"First name is invalid","Prénom invalide",custom,Imaginaerum
"Folder","Répertoire",custom,Imaginaerum
"Forgot an Item?","Vous avez oublié un article ?",custom,Imaginaerum
"Forgot Your Password","Mot de passe oublié",custom,Imaginaerum
"Forgot your user name or password?","Nom d'utilisateur ou mot de passe oublié ?",custom,Imaginaerum
"Form code is not defined","Le code du formulaire n'est pas défini.",custom,Imaginaerum
"For Windows server only.","Pour les serveurs windows uniquement.",custom,Imaginaerum
"From Date","Date de début",custom,Imaginaerum
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Depuis le tableau de bord 'Mon compte', vous pouvez avoir un aperçu de vos récentes activités et mettre à jour les informations de votre compte. Sélectionnez un lien ci-dessous pour voir ou modifier les informations.",custom,Imaginaerum
"Frontend","Frontend",custom,Imaginaerum
"Frontend label is not defined","Le libellé de front office n'est pas défini",custom,Imaginaerum
"Frontend Properties","Propriétés du frontend",custom,Imaginaerum
"Fulfilled","Rempli",custom,Imaginaerum
"GB","Go",custom,Imaginaerum
"Gender is required.","Le genre est obligatoire.",custom,Imaginaerum
"Get a Quote","Obtenir une estimation",custom,Imaginaerum
"Gift Options for this address.","Options cadeau pour cette adresse.",custom,Imaginaerum
"GLOBAL","GLOBAL",custom,Imaginaerum
"Global Attribute","Attribut global",custom,Imaginaerum
"Grid Settings","Paramètres de la Grille",custom,Imaginaerum
"Header column names already set","L'en-tête des noms de colonnes a déjà été défini",custom,Imaginaerum
"Hello, %1!","Bonjour, %1!",custom,Imaginaerum
"Help Us Keep Magento Healthy - Report All Bugs","Aidez-nous à améliorer Magento - Signalez tous les bugs",custom,Imaginaerum
"Help Us to Keep Magento Healthy","Aidez-nous à améliorer Magento",custom,Imaginaerum
"How do you rate this product?","Quelle note donneriez-vous à ce produit ?",custom,Imaginaerum
"HTML tags are not allowed","Les balises HTML ne sont pas autorisées",custom,Imaginaerum
"ID is invalid.","ID invalide",custom,Imaginaerum
"Id is required","id requis",custom,Imaginaerum
"ID Path","ID chemin",custom,Imaginaerum
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Si ce champ est vide, la valeur par défaut sera utilisée. Une URL personnalisée peut être fournie par un accord CardinalCommerce.",custom,Imaginaerum
"If empty, the Category Name will be used","Si vide, le nom de la catégorie sera utilisé",custom,Imaginaerum
"If empty, the Product Name will be used","Si vide, le nom du produit sera utilisé",custom,Imaginaerum
"Image Management","Gestion des images",custom,Imaginaerum
"Import/Export Tax Rates","Importer/Exporter Taux de Taxes",custom,Imaginaerum
"Import has been done successfuly.","Import réalisé avec succès.",custom,Imaginaerum
"Incl. Tax:","TTC :",custom,Imaginaerum
"Include","Inclure",custom,Imaginaerum
"Include in Navigation Menu","Inclure dans le menu de navigation",custom,Imaginaerum
"Include Tax In Grand Total","TTC dans le total",custom,Imaginaerum
"Inconsistent start date","Date de début incompatible",custom,Imaginaerum
"Incorrect credit card expiration date.","Mauvaise date d'expiration de carte de crédit.",custom,Imaginaerum
"Index product attributes for layered navigation building","Index des attributs produit pour la navigation par filtres",custom,Imaginaerum
"Index Product Stock Status","Indexer les statuts de stock de produit",custom,Imaginaerum
"Ineligible","Inéligible",custom,Imaginaerum
"Interface Language","Langage de l'interface",custom,Imaginaerum
"Invalid Address Data provided","Données d'adresse invalide.",custom,Imaginaerum
"Invalid discount amount.","Montant de remise invalide.",custom,Imaginaerum
"Invalid password reset token.","Jeton de réinitialisation de mot de passe invalide.",custom,Imaginaerum
"Invoice #%1","Facture #%1",custom,Imaginaerum
"Is Anchor","Is Anchor",custom,Imaginaerum
"Issuer Liability","Responsabilité de l'émetteur",custom,Imaginaerum
"Item %1 of %2","Article %1 sur %2",custom,Imaginaerum
"items selected","élément(s) sélectionné(s)",custom,Imaginaerum
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou dans les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité.",custom,Imaginaerum
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou dans les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité.",custom,Imaginaerum
"kB","Ko",custom,Imaginaerum
"Last 5 Orders","5 dernières commandes",custom,Imaginaerum
"Last 5 Search Terms","5 derniers termes recherchés",custom,Imaginaerum
"Last name is too long.","Le prénom est trop long.",custom,Imaginaerum
"Last URL","Dernière URL",custom,Imaginaerum
"Layered Navigation Price Step","Tranche de prix dans la navigation par couche",custom,Imaginaerum
"Loading next step...","Chargement en cours de l'étape suivante...",custom,Imaginaerum
"Log In","Connexion",custom,Imaginaerum
"Log in","Connexion",custom,Imaginaerum
"Login and password are required.","L'identifiant et le mot de passe sont obligatoires.",custom,Imaginaerum
"Login Information","Information de connexion",custom,Imaginaerum
"Log into Magento Admin Page","Connexion à l'administration Magento",custom,Imaginaerum
"Log Out","Déconnexion",custom,Imaginaerum
"Log Settings","Paramètres de log",custom,Imaginaerum
"Magento Admin","Admin Magento",custom,Imaginaerum
"Magento ver. %1","Magento ver. %1",custom,Imaginaerum
"Marketing","Marketing",custom,Imaginaerum
"Match Period To","Faire correspondre la période à",custom,Imaginaerum
"Maximum 255 chars","255 caractères minimum",custom,Imaginaerum
"Maximum Query Words Count","Nombre maxi de mots dans la requête",custom,Imaginaerum
"MB","Mo",custom,Imaginaerum
"Merchant account ID is invalid.","ID du compte marchand invalide.",custom,Imaginaerum
"Merchant Liability","Responsabilité du marchand",custom,Imaginaerum
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Les marchands doivent faire une demande à PayPal pour activer les accords de facturation. Ne pas activer cette option tant que PayPal n'a pas confirmé que les accords de facturation sont activés sur votre compte marchand.",custom,Imaginaerum
"Meta Title","Titre méta",custom,Imaginaerum
"Method ","Méthode ",custom,Imaginaerum
"Middle Name/Initial","Patronyme/Initiales",custom,Imaginaerum
"Minimum Qty for Item's Status to be Out of Stock","Quantité mini pour que l'article soit considéré comme épuisé",custom,Imaginaerum
"MM","MM",custom,Imaginaerum
"More Views","Plus de vues",custom,Imaginaerum
"n/a","n/a",custom,Imaginaerum
"Name:","Nom :",custom,Imaginaerum
"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' est trop long. Il doit avoir maximum %min% symboles.",custom,Imaginaerum
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' est trop court. Il doit avoir minimum %min% symboles.",custom,Imaginaerum
"New Address","Nouvelle adresse",custom,Imaginaerum
"New Addresses","Nouvelle Adresse",custom,Imaginaerum
"New Customer Address","Nouvelle adresse client",custom,Imaginaerum
"[New/Edit] URL Rewrite","[Ajouter/Éditer] Une Réécriture d'URL",custom,Imaginaerum
"New order status","Nouveau statut de commande",custom,Imaginaerum
"New password field cannot be empty.","Le champ de nouveau mot de passe ne peut pas être vide.",custom,Imaginaerum
"New Product Template","Nouveau Gabarit Produit",custom,Imaginaerum
"Newsletter Template","Gabarits de Newsletter",custom,Imaginaerum
"No confirmation","Aucune confirmation",custom,Imaginaerum
"No items were found using the following search criteria.","Aucun résultat pour ces critères de recherche.",custom,Imaginaerum
"No Liability Shift","Absence de responsabilité",custom,Imaginaerum
"(Not %1?)","(Pas %1?)",custom,Imaginaerum
"Notification","Notification",custom,Imaginaerum
"Not supported cipher version","Version de cipher non supportée",custom,Imaginaerum
"No wishlist item ID is defined.","Aucun ID d'article de la liste d'envies défini.",custom,Imaginaerum
"Now Online","En Ligne",custom,Imaginaerum
"Number of wish list conversions: %1","Nombre de conversions de la liste d'envies: %1",custom,Imaginaerum
"Number of wish lists: %1","Nombre de listes d'envies: %1",custom,Imaginaerum
"Operations","Operations",custom,Imaginaerum
"or ","ou ",custom,Imaginaerum
"Order #%1 (%2)","Commande #%1 (%2)",custom,Imaginaerum
"Order Count","Nombre de Commande",custom,Imaginaerum
"Order Created Date","Date de création de commande",custom,Imaginaerum
"Order Date: %1","Date de la Commande: %1",custom,Imaginaerum
"Order Summary","Résumé de la Commande",custom,Imaginaerum
"Order Updated Date","Date de mise à jour de commande",custom,Imaginaerum
"Original value for Magento_Store module","Valeur originale pour le module Magento_Store",custom,Imaginaerum
"Other Settings","Autres réglages",custom,Imaginaerum
"Password and password confirmation are not equal.","Le mot de passe et la confirmation du mot de passe ne sont pas identiques.",custom,Imaginaerum
"Payer is not identified.","Payeur non identifié",custom,Imaginaerum
"Payment method is not defined","Le mode de paiement n'est pas défini",custom,Imaginaerum
"Payment updating error.","Erreur lors de la mise à jour de paiement.",custom,Imaginaerum
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout permet à vos client d'obtenir un financement PayPal Credit&#174; - sans coût supplémentaire pour vous.
                        Vous êtes payé, même si les clients ont du retard. Un bouton de paiement pré-intégrée permet aux clients de payer avec PayPal Credit rapidement&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">En savoir plus</a>",custom,Imaginaerum
"PayPal gateway rejected the request. %1","La passerelle PayPal à rejeté la requête. %1",custom,Imaginaerum
"PayPal Settlement","Règlement PayPal",custom,Imaginaerum
"Please agree to all Terms and Conditions before placing the orders.","Veuillez accepter les conditions générales de ventes avant de valider les commandes.",custom,Imaginaerum
"Please, check your email for confirmation key.","Consultez vos emails pour obtenir la clé de confirmation.",custom,Imaginaerum
"Please choose to register or to checkout as a guest","Choisissez de vous enregistrer ou de passer votre commande en tant qu'invité",custom,Imaginaerum
"Please correct the value for '%1' column","Veuillez corriger la valeur de la colonne '%1'",custom,Imaginaerum
"Please define a correct Cookie instance.","Définissez une instance de cookie correcte.",custom,Imaginaerum
"Please define a correct Product instance.","Définissez une instance de produit correcte.",custom,Imaginaerum
"Please define the correct Sender information.","Définissez correctement les informations de l'expéditeur.",custom,Imaginaerum
"Please enter 6 or more characters.","Veuillez saisir au moins 6 caractères.",custom,Imaginaerum
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Veuillez saisir au moins 7 caractères. Le mot de passe doit contenir à la fois des caractères numériques et alphabétiques.",custom,Imaginaerum
"Please enter a number lower than 100.","Veuillez saisir un nombre inférieur à 100.",custom,Imaginaerum
"Please enter a password.","Veuillez saisir un mot de passe",custom,Imaginaerum
"Please enter a valid email address(for example johndoe@domain.com.).","Veuillez saisir une adresse email valide (par exemple johndoe@domain.com.).",custom,Imaginaerum
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse email valide. Par exemple prenom.nom@domaine.com",custom,Imaginaerum
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de fax valide. Par exemple 0123456789.",custom,Imaginaerum
"Please enter a valid full date","Veuillez saisir une date complète valide.",custom,Imaginaerum
"Please enter a valid month (1-12).","Veuillez saisir un mois valide (1-12).",custom,Imaginaerum
"Please enter a valid password.","Veuillez saisir un mot de passe valide.",custom,Imaginaerum
"Please enter a valid social security number (for example, 123-45-6789).","Veuillez saisir un numéro de sécurité social valide (par exemple, 123-45-6789).",custom,Imaginaerum
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-45-6789.",custom,Imaginaerum
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Veuillez saisir une URL valide. Le protocole est obligatire (http://, https:// ou ftp://)",custom,Imaginaerum
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Veuillez saisir un identifiant XML valide. Par exemple, quelquechose_1, bloc5, id-4.",custom,Imaginaerum
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple 92100.",custom,Imaginaerum
"Please enter new template name.","Saisissez un nom de gabarit.",custom,Imaginaerum
"Please enter search conditions to view products.","Veuillez entrer des conditions de recherche pour voir des produits.",custom,Imaginaerum
"Please enter the telephone number.","Veuillez renseigner le numéro de téléphone.",custom,Imaginaerum
"Please enter your comments.","Veuillez saisir votre commentaire",custom,Imaginaerum
"Please enter your email address below. You will receive a link to reset your password.","Saisissez votre email ci-dessous. Nous vous enverrons un lien pour réinitialiser votre mot de passe.",custom,Imaginaerum
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Veuillez saisir une longueur CSS valide. Par exemple 100px ou 77pt ou 20 em ou .5ex ou 50%.",custom,Imaginaerum
"Please input a valid email address.","Saisissez un email valide.",custom,Imaginaerum
"Please log in below:","Veuillez vous identifier :",custom,Imaginaerum
"Please log in to download your product.","Veuillez vous connecter pour pouvoir télécharger votre produit.",custom,Imaginaerum
"--Please select--","--Veuillez choisir--",custom,Imaginaerum
"Please select a customer.","Sélectionnez un client",custom,Imaginaerum
"Please select a file","Sélectionnez un fichier",custom,Imaginaerum
"Please select a store.","Sélectionnez un magasin",custom,Imaginaerum
"Please select catalog searches.","Sélectionnez les recherches catalogue",custom,Imaginaerum
"Please select one of the above options.","Veuillez choisir une des options ci-dessus.",custom,Imaginaerum
"Please select one of the options.","Veuillez choisir une des options.",custom,Imaginaerum
"Please select products.","Veuillez choisir des produits.",custom,Imaginaerum
"Please select product(s).","Sélectionnez un ou des poduits.",custom,Imaginaerum
"Please specify either a category or a product, or both.","Spécifiez une catégorie, un produit ou les deux.",custom,Imaginaerum
"Please specify payment method.","Choisissez un mode de paiement.",custom,Imaginaerum
"Please specify shipping method.","Choisissez un mode de livraison.",custom,Imaginaerum
"Please specify the product's option(s).","Veuillez spécifier la (les) option(s) de produit",custom,Imaginaerum
"Please specify the product's required option(s).","Spécifiez la ou les option(s) obligatoire(s).",custom,Imaginaerum
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Seuls les chiffres sont autorisés dans ce champ. Évitez les espaces ou autres caractères tels que les points ou les virgules.",custom,Imaginaerum
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9) ou underscore (_) dans ce champ, en commençant par une lettre.",custom,Imaginaerum
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Utilisez uniquement des lettres (a-z ou A-Z), des chiffres (0-9) ou des underscores (_) dans ce champ. Le premier caractère doit être une lettre.",custom,Imaginaerum
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez utiliser uniquement des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés.",custom,Imaginaerum
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Veuillez utiliser uniquement des lettres (a-z), des chiffres (0-9), des espaces ou des dièses (#) dans ce champ.",custom,Imaginaerum
"Please use only visible characters and spaces.","Veuillez utiliser uniquement des caractères visibles et des espaces.",custom,Imaginaerum
"Please wait, loading...","Veuillez patienter, chargement en cours...",custom,Imaginaerum
"Please wait until the action ends.","Veuillez attendre que l'action se termine.",custom,Imaginaerum
"Postal Code","Code Postal",custom,Imaginaerum
"Postal code is invalid","Code postal invalide",custom,Imaginaerum
"Posted By","Posté par",custom,Imaginaerum
"Preapproved Payment (BillUser API), either sent or received","Paiement pré-approuvés (BillUser API), envoyé ou reçu des",custom,Imaginaerum
"Prefix","Préfixe",custom,Imaginaerum
"Price is an invalid format.","Format prix invalide.",custom,Imaginaerum
"Processed Amount","Montant traité",custom,Imaginaerum
"Processing...","En cours de traitement...",custom,Imaginaerum
"Products in Cart","Produits dans les paniers",custom,Imaginaerum
"Product Templates","Gabarit Produit",custom,Imaginaerum
"Qty:","Qté :",custom,Imaginaerum
"Qty for Item's Status to Become Out of Stock","Qté pour que le statut du produit passe à épuisé",custom,Imaginaerum
"Queue Newsletter...","File de newsletter",custom,Imaginaerum
"Quick simple product creation","Création rapide de produit simple",custom,Imaginaerum
"Rate Percent should be a positive number.","Le taux doit être un nombre positif.",custom,Imaginaerum
"Rating:","Note :",custom,Imaginaerum
"Read details","Lire les détails",custom,Imaginaerum
"Recently added item(s)","Derniers articles ajoutés",custom,Imaginaerum
"Recipient:","Destinataire :",custom,Imaginaerum
"Redirect","Rediriger",custom,Imaginaerum
"Region is invalid","Région invalide",custom,Imaginaerum
"Register","S'enregistrer",custom,Imaginaerum
"Register and save time!","Gagnez du temps !",custom,Imaginaerum
"Registered notification about approved payment.","Notification enregistré au sujet de paiement approuvé.",custom,Imaginaerum
"Registered notification about denied payment.","Notification enregistré sur le paiement refusé.",custom,Imaginaerum
"Register to Create an Account","Enregistrez-vous pour créer un compte",custom,Imaginaerum
"Register with us for future convenience:","Enregistrez-vous et profitez de nombreux avantages :",custom,Imaginaerum
"Regular Payment","Paiement régulier",custom,Imaginaerum
"Regular Price:","Prix normal :",custom,Imaginaerum
"Remaining Balance","Solde restant",custom,Imaginaerum
"Remove Email","Supprimer email",custom,Imaginaerum
"Remove Image","Supprimer l'image",custom,Imaginaerum
"Replace Existing Complex Data","Remplacer les données complexes existantes",custom,Imaginaerum
"%s","%s",custom,Imaginaerum
"save","économisez",custom,Imaginaerum
"Save Attribute Set","Sauvegarder le jeu d'attributs",custom,Imaginaerum
"Search Type","Type de recherche",custom,Imaginaerum
"See All (%1 unread)","Voir Tout (%1 non lu(s))",custom,Imaginaerum
"Select a billing address from your address book or enter a new address.","Choisissez une adresse de facturation dans votre carnet d'adresses ou saisissez une nouvelle adresse.",custom,Imaginaerum
"Select a shipping address from your address book or enter a new address.","Choisissez une adresse de livraison dans votre carnet d'adresses ou saisissez une <a href=""""#"""" onclick=""""shipping.newAddress(true); return false;"""">nouvelle adresse</a>.",custom,Imaginaerum
"Select Configurable Attributes","Sélectionnez les attributs configurables",custom,Imaginaerum
" Send auto-generated password"," Envoyé un mot de passe généré",custom,Imaginaerum
"Sender:","Expéditeur :",custom,Imaginaerum
"Send From","Envoyé de",custom,Imaginaerum
"Send Welcome Email","Envoyer un email de bienvenue",custom,Imaginaerum
"Send Welcome Email after Confirmation","Envoyer un mail de bienvenue après la confirmation",custom,Imaginaerum
"SEO & Search","SEO & Recherche",custom,Imaginaerum
"Session Start Time","Début de session",custom,Imaginaerum
"Set as Default Billing Address","Définir comme adresse de facturation par défaut",custom,Imaginaerum
"Set as Default Shipping Address","Définir comme adresse de livraison par défaut",custom,Imaginaerum
"Set Product as New from Date","Nouveauté depuis le",custom,Imaginaerum
"Set Product as New to Date","Nouveauté jusqu'au",custom,Imaginaerum
"Severe 3D Secure Card Validation","Vérification 3D Secure stricte",custom,Imaginaerum
"Severe validation removes chargeback liability on merchant.","La vérification 3D Secure stricte annule la responsabilité de rétrofacturation du marchand",custom,Imaginaerum
"Severe Validation Removes Chargeback Liability on Merchant","La vérification 3D Secure stricte annule la responsabilité de rétrofacturation du marchand",custom,Imaginaerum
"Share Wishlist","Partager la liste d'envies",custom,Imaginaerum
"Shipping method has not been selected yet","Le mode de livraison n'a pas encore été choisi",custom,Imaginaerum
"Shipping selection is not applicable.","Le choix de livraison n'est pas applicable.",custom,Imaginaerum
"Ship to different address","Livrer à une autre adresse",custom,Imaginaerum
"Ship to this address","Livrer à cette adresse",custom,Imaginaerum
"Shopping Cart Price Rule","Règle de prix panier",custom,Imaginaerum
"Shopping Cart Price Rules","Règles de prix panier",custom,Imaginaerum
"Shortcut on Product View","Raccourci sur le produit Voir",custom,Imaginaerum
"Shortcut on Shopping Cart","Raccourci sur le panier",custom,Imaginaerum
"Short Description","Description courte",custom,Imaginaerum
"Show / Hide Editor","Afficher/masquer l'éditeur",custom,Imaginaerum
"Show VAT Number on Frontend","Afficher le numéro de TVA sur le frontend",custom,Imaginaerum
"Sign a billing agreement to streamline further purchases with PayPal.","Signer une entente de facturation afin de rationaliser les achats supplémentaires auprès de PayPal.",custom,Imaginaerum
"Sku","Réf.",custom,Imaginaerum
"Small Image","Petite image",custom,Imaginaerum
"Sorry, no quotes are available for this order at this time.","Aucun mode de livraison n'est disponible pour votre adresse.",custom,Imaginaerum
"Source file moving failed","Erreur lors du déplacement du fichier source",custom,Imaginaerum
"Source is not set","La source n'est pas définie",custom,Imaginaerum
"Special Price:","Prix spécial :",custom,Imaginaerum
"Special Price From Date","Prix spécial à partir du",custom,Imaginaerum
"Special Price To Date","Prix spécial jusqu'au",custom,Imaginaerum
"%s - %s","%s - %s",custom,Imaginaerum
"SSL Error: Invalid or self-signed certificate","Erreur SSL: Certificat invalide ou auto-signé",custom,Imaginaerum
"Start date cannot be greater than end date.","La date de début doit être antérieure à la date de fin.",custom,Imaginaerum
"Starting at:","À partir de :",custom,Imaginaerum
"Stock Status","État du stock",custom,Imaginaerum
"Stop Further Rules Processing","Ne pas traiter les règles suivantes (non cumulable)",custom,Imaginaerum
"Street address is required.","Adresse requise.",custom,Imaginaerum
"Subscription ID is invalid.","ID de souscription invalide.",custom,Imaginaerum
"Subtotal Excl. Tax","Sous Total HT",custom,Imaginaerum
"Subtotal Incl. Tax","Sous Total TTC",custom,Imaginaerum
"Suffix","Suffixe",custom,Imaginaerum
"Summary of Your Review","Résumé de votre commentaire",custom,Imaginaerum
"Summary Text for Aggregated Cart","Texte récapitulatif sur les paniers validés",custom,Imaginaerum
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Le support des cartes American Express nécessite un accord supplémentaire. En savoir plus au <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.",custom,Imaginaerum
"Symbol","Symbole",custom,Imaginaerum
"System doesn't allow to get file upload settings","Le système ne permet pas d'obtenir les paramètres d'upload du fichier",custom,Imaginaerum
"System Log File Name","Nom de fichier de logs système",custom,Imaginaerum
"Tax amount is an invalid format.","Le montant de la taxe est dans un format invalide.",custom,Imaginaerum
"Taxes","Taxes",custom,Imaginaerum
"Tax/VAT Number","Numéro de TVA",custom,Imaginaerum
"TB","To",custom,Imaginaerum
"Telephone","Téléphone",custom,Imaginaerum
"Template Path Hints","Astuce chemin des gabarits",custom,Imaginaerum
"Text length does not satisfy specified text range.","La longueur du texte ne satisfait pas la plage de texte spécifiée.",custom,Imaginaerum
"The account has been saved.","Le compte a été sauvegardé.",custom,Imaginaerum
"The account information has been saved.","Les informations du compte ont été sauvegardées.",custom,Imaginaerum
"The address has been deleted.","L'adresse a été supprimée.",custom,Imaginaerum
"The address has been saved.","L'adresse a été sauvegardée.",custom,Imaginaerum
"The background color for the checkout page around the header and payment form.","Couleur d’arrière-plan de la page paiement autour de l'en-tête et du formulaire de paiement.",custom,Imaginaerum
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Couleur de fond pour l'en-tête de la page de paiement. Code hexadécimal de la couleur.",custom,Imaginaerum
"The block has been deleted.","Le bloc a bien été effacé.",custom,Imaginaerum
"The block has been saved.","Le bloc a bien été enregistré.",custom,Imaginaerum
"The Comment Text field cannot be empty.","Le champ texte du commentaire ne peut pas être vide.",custom,Imaginaerum
"The condition has been deleted.","Condition supprimée.",custom,Imaginaerum
"The condition has been saved.","La condition a été sauvegardée.",custom,Imaginaerum
"The coupon code was canceled.","Le coupon de réduction a été annulé.",custom,Imaginaerum
"the credit memo email is not sent","l'email n'a pas été envoyé",custom,Imaginaerum
"The customer group has been deleted.","Le groupe clients a été supprimé.",custom,Imaginaerum
"The customer group has been saved.","Le groupe clients a été sauvegardé.",custom,Imaginaerum
"The customer is currently assigned to Customer Group %s.","Le client est actuellement assigné au groupe client %s.",custom,Imaginaerum
"The database and media backup has been created.","La sauvegarde de la base de données et des media a bien été créée.",custom,Imaginaerum
"The database backup has been created.","La sauvegarde de la base de données a bien été créée.",custom,Imaginaerum
"The Date of Birth is required.","La date de naissance est obligatoire.",custom,Imaginaerum
"The email address is empty.","L'email est vide.",custom,Imaginaerum
"The email template has been deleted.","Le gabarit d'email a été supprimé.",custom,Imaginaerum
"The email template has been saved.","Le gabarit d'email a été sauvegardé.",custom,Imaginaerum
"The first name cannot be empty.","Le prénom ne peut pas être vide.",custom,Imaginaerum
"The gift message has been saved.","Le message cadeau a bien été sauvegardé.",custom,Imaginaerum
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Image en haut à gauche sur la page de paiement. La taille maximale est de 750x90px. <strong style=""color:red"">https</strong> est recommandé.",custom,Imaginaerum
"the invoice email is not sent","l'email n'a pas été envoyé",custom,Imaginaerum
"the invoice email was sent","l'email a été envoyé",custom,Imaginaerum
"The invoice no longer exists.","La facture n'existe plus.",custom,Imaginaerum
"The last name cannot be empty.","Le nom de famille ne peut pas être vide.",custom,Imaginaerum
"The message cannot be empty.","Le message ne peut pas être vide.",custom,Imaginaerum
"Theme Version","Version du Thème",custom,Imaginaerum
"The onepage checkout is disabled.","Le passage de commande en une seule page est désactivé.",custom,Imaginaerum
"the order confirmation email is not sent","l'email de confirmation n'a pas été envoyé",custom,Imaginaerum
"the order confirmation email was sent","l'email de confirmation a été envoyé",custom,Imaginaerum
"The page has been saved.","La page a bien été enregistrée.",custom,Imaginaerum
"The payment eCheck is not yet cleared.","Le chèque électronique de paiement n'est pas encore effacée.",custom,Imaginaerum
"The payment update has been made.","La mise à jour du paiement a été effectuée.",custom,Imaginaerum
"The product attribute has been deleted.","L'attribut de produit a été effacé.",custom,Imaginaerum
